code,name,market,price,currency,signal,total_score,margin_of_safety,graham_value,epv_value,dcf_value,fair_value_mid,moat_score,financial_score,confidence,recommendation,date
0700.HK,Tencent Holdings Limited,港股,495.2,HK$,STRONG_BUY,81,77.33779695502065,302.4443848954666,5874.369074595155,,2185.136189174283,95,70,高,可建50-70%仓位,2026-04-23
3690.HK,Meituan,港股,83.1,HK$,OBSERVE,38,,,,,,35,72,中,空仓观察，等待更好价格,2026-04-23
